model,n,mae,rmse,r2,spearman,n_total,parameter,task,coverage90,mean_interval_width
main_groupdro,1683,1.4331350611684794,2.415581264770097,-0.0912187541374793,0.2004114384020595,1749,NO3N,spatial,0.934819897084048,9.954060600578114
main_groupdro,1636,1.7935198371254786,2.9633819391737504,-0.2326283019795305,0.2406869889098772,1697,NO3N,spatial_temporal,0.9063052445492044,9.27592170915832
main_groupdro,12490,1.056577282193351,2.000522120590715,0.3957640799829001,0.7605189324139852,13161,NO3N,temporal,0.97636957677988,18.53415352072943
main_groupdro,1243,0.075926131170712,0.157470066062824,-0.0723724742907339,0.0184988188257821,1327,TP,spatial,0.92991710625471,0.297578608435944
main_groupdro,1680,0.0901811565093717,0.2199188632080031,-0.0231576919728075,0.1315263299527837,1733,TP,spatial_temporal,0.9053664166185804,0.2665410832823652
main_groupdro,10883,0.1133710474437416,0.2822701795556835,0.1286489295843569,0.5258362458550356,12540,TP,temporal,0.9158692185007976,0.3385173206772173
main_groupdro,1106,1.7616063389202952,2.230523417276069,0.0571419745034301,0.5354648489064769,1106,O2-Dis,spatial,0.9113924050632912,7.225309391106002
main_groupdro,1270,1.6675104991216738,2.124101496787593,0.1448975029453861,0.4529987001523433,1272,O2-Dis,spatial_temporal,0.8922955974842768,7.198828127990981
main_groupdro,9819,1.5207359925058916,2.0591730161581654,0.2818579234489192,0.5729817303567423,9824,O2-Dis,temporal,0.9495114006514658,9.305672654868724
main_groupdro,241,9.267476764853663,14.089511915798765,0.0928806860778812,-0.0163706455205744,276,TSS,spatial,0.8043478260869565,36.03013568224273
main_groupdro,256,7.779847858423373,12.97252719006125,-0.1493756554185235,-0.1871743784207184,290,TSS,spatial_temporal,0.8344827586206897,36.67102241425265
main_groupdro,2611,17.58177114127496,50.496768138928246,-0.0405912835856661,0.4929136960402068,4238,TSS,temporal,0.8938178386031147,36.5422585773322
main_groupdro,449,4.002556511218603,4.955736018113004,0.5152991240146975,0.7382018174184627,449,TEMP,spatial,0.8775055679287305,15.547396495351158
main_groupdro,495,4.062993702684679,5.007297365523268,0.4413560498856747,0.6852412088981727,495,TEMP,spatial_temporal,0.8828282828282829,15.35289985958054
main_groupdro,7259,3.548532156872282,4.591377460590122,0.485133289857851,0.7119244268429306,7259,TEMP,temporal,0.9439316710290674,17.750111588516244
main_groupdro,1057,0.2449554563223209,0.367640793927901,0.4166887015242074,0.6233563103002147,1057,pH,spatial,0.902554399243141,1.06892766019839
main_groupdro,1136,0.2244333194007164,0.3116311253572756,0.4658250860585113,0.6026238933327563,1136,pH,spatial_temporal,0.925176056338028,1.0840873054538689
main_groupdro,10040,0.2491435854656672,0.337057768875663,0.5211966021024932,0.6268050177595201,10040,pH,temporal,0.8640438247011952,0.9472431776039838
main_groupdro,1053,1096.5756932099016,6238.823292272124,0.0415284234784786,0.6401752701345912,1053,EC,spatial,0.8964862298195632,916.5874710412652
main_groupdro,1159,253.21474048139544,788.3840997698326,0.1933388262216847,0.6671167978711923,1159,EC,spatial_temporal,0.908541846419327,903.4339638981664
main_groupdro,9844,213.71391315395368,1063.941607983213,0.1372073187745349,0.7540446094560268,9844,EC,temporal,0.8618447785453068,639.9019503810646
no_graph,1683,1.454275672502382,2.526428222859964,-0.1936649580636507,0.1741565131459896,1749,NO3N,spatial,0.9416809605488852,6.040022364513814
no_graph,1636,1.8882978431799124,3.1257003168576887,-0.3713602262486566,0.1969759743215481,1697,NO3N,spatial_temporal,0.8945197407189157,6.131644497692668
no_graph,12490,1.655454336868792,2.907634343918474,-0.2764370549671593,0.3961847486939858,13161,NO3N,temporal,0.906770002279462,5.941673726453819
no_graph,1243,0.0721895001832831,0.1522309009917302,-0.0022020209877393,0.0789028792134471,1327,TP,spatial,0.961567445365486,0.3298817153507672
no_graph,1680,0.0899109495841307,0.2176609659928921,-0.0022561141197214,0.1266715327990616,1733,TP,spatial_temporal,0.9376803231390652,0.328679126297268
no_graph,10883,0.1145333978565693,0.3047294066658203,-0.0155279998168225,0.1619475757118876,12540,TP,temporal,0.9204944178628388,0.3260278580454823
no_graph,1106,2.3406631660806005,2.837872453358168,-0.5262246825443553,0.1551747226765731,1106,O2-Dis,spatial,0.933996383363472,8.474496159200529
no_graph,1270,2.099137848151938,2.557365945863628,-0.2395196050836563,0.1914664094383347,1272,O2-Dis,spatial_temporal,0.9276729559748428,8.489740285360885
no_graph,9819,2.151774357480902,2.689541619728206,-0.2251273481193565,0.1078237636555098,9824,O2-Dis,temporal,0.9449307817589576,9.359550798914697
no_graph,241,10.672744592300338,14.570268976344131,0.0299197678159006,0.1927897123152943,276,TSS,spatial,0.7971014492753623,52.532091160907775
no_graph,256,8.501672141923617,12.491318226299416,-0.0656862441546788,0.0374867374224128,290,TSS,spatial_temporal,0.8310344827586207,50.90470286697112
no_graph,2611,19.21772208719233,50.55125214113877,-0.0428380081195836,0.0815592020962519,4238,TSS,temporal,0.7423312883435583,44.426846679607216
no_graph,449,6.603695982989291,7.807339494900555,-0.2029943988215974,-0.0349688287792981,449,TEMP,spatial,0.9153674832962138,26.580920545522726
no_graph,495,6.408344422899444,7.758314321076056,-0.3411059042363789,-0.0504884032556387,495,TEMP,spatial_temporal,0.9272727272727272,26.77969235463766
no_graph,7259,5.4190801627118965,6.582782714916554,-0.0583464486350915,-0.2130883765024045,7259,TEMP,temporal,0.927675988428158,23.52395081248166
no_graph,1057,0.4443481295481689,0.5685221580053442,-0.3949151455687358,0.2657361292779827,1057,pH,spatial,0.89120151371807,1.4916820033896507
no_graph,1136,0.3384349370045609,0.4512712509014188,-0.1201525358718456,0.2853421218181875,1136,pH,spatial_temporal,0.9339788732394366,1.425096314864288
no_graph,10040,0.3799359889111803,0.4905354771585811,-0.0141200878160994,0.2545721717859366,10040,pH,temporal,0.8495019920318725,1.3117850563628857
no_graph,1053,1282.761114991548,6494.735331165351,-0.0387159106490349,0.2525437984368074,1053,EC,spatial,0.8670465337132004,1009.7444424715304
no_graph,1159,440.2453646651435,973.5037833851892,-0.2299592635343188,0.1089813366662935,1159,EC,spatial_temporal,0.8515962036238136,924.758761831135
no_graph,9844,367.7812205403909,1190.1827792628344,-0.0796877902164503,0.2581766877582523,9844,EC,temporal,0.8630637952052012,900.5640230589609
undirected,1683,1.4383776347342812,2.435064782717745,-0.1088927796418746,0.1854736683695212,1749,NO3N,spatial,0.9359634076615208,10.6737777995484
undirected,1636,1.8140585225699737,2.9915915449717096,-0.2562077549359467,0.2161190366444514,1697,NO3N,spatial_temporal,0.901591043017089,9.880431828566124
undirected,12490,1.0612420489018637,2.0136592381354803,0.3878021766763877,0.7587440501514968,13161,NO3N,temporal,0.9767494871210396,20.85461067033069
undirected,1243,0.0745120790659201,0.1561851280147414,-0.0549429990603638,0.0847329141981624,1327,TP,spatial,0.9284099472494348,0.2968136698395666
undirected,1680,0.0894757984383502,0.2197243043148871,-0.0213481484849415,0.1663121756808404,1733,TP,spatial_temporal,0.9053664166185804,0.267989019360871
undirected,10883,0.1134971408180049,0.2821310088893293,0.1295079407248976,0.5248137116426417,12540,TP,temporal,0.9236842105263158,0.3496913889240777
undirected,1106,1.7494248881403325,2.2185185717943323,0.067263729179487,0.5459154836252457,1106,O2-Dis,spatial,0.9095840867992768,7.181012167492319
undirected,1270,1.658227506593015,2.1116769977968053,0.1548717419561762,0.4640697686136174,1272,O2-Dis,spatial_temporal,0.8962264150943396,7.122338292252553
undirected,9819,1.5193292023230596,2.056511617160837,0.2837130638107452,0.5757744653491277,9824,O2-Dis,temporal,0.948900651465798,9.16177939021224
undirected,241,9.32680528546658,14.267584032015575,0.0698062981884202,-0.0341966978340561,276,TSS,spatial,0.8007246376811594,35.062685864823855
undirected,256,7.645173859374831,12.934215701777005,-0.1425968268149313,-0.1736699394425959,290,TSS,spatial_temporal,0.8344827586206897,35.76701001624889
undirected,2611,17.616296985946057,50.63323061172392,-0.0462230710295035,0.4963093356728701,4238,TSS,temporal,0.8931099575271354,34.47519383106489
undirected,449,3.9783899733895423,4.934751237433801,0.519395309347588,0.7409101759875407,449,TEMP,spatial,0.888641425389755,15.644866807108134
undirected,495,4.007473816901267,4.938517028421186,0.4565977349441903,0.6937224330782983,495,TEMP,spatial_temporal,0.8929292929292929,15.384353217312464
undirected,7259,3.563953220955889,4.602079726825941,0.4827302364387444,0.7166574591776665,7259,TEMP,temporal,0.9458603113376498,17.991340736363796
undirected,1057,0.2484741040043412,0.3730402446045617,0.3994289792531992,0.6095128725333405,1057,pH,spatial,0.8949858088930936,1.0638453999004371
undirected,1136,0.2240458793373104,0.3108039367410155,0.4686571328886117,0.5984694328731245,1136,pH,spatial_temporal,0.9234154929577464,1.078213066668955
