seed,n,mae,rmse,r2,spearman,n_total,parameter,task,coverage90,mean_interval_width
42,1683,1.4343434706189024,2.4071376799075104,-0.0836034484351659,0.1361163091403345,1749,NO3N,spatial,0.9313893653516296,8.331068398767734
42,1636,1.808871224992543,2.9864456601988127,-0.2518898254411772,0.1856541924323451,1697,NO3N,spatial_temporal,0.9045374189746612,7.713939437254442
42,12490,0.8422747208550148,1.7346981501524283,0.545673934151877,0.8312131499169398,13161,NO3N,temporal,0.9436213053719322,7.250487931590771
42,1243,0.0715324480392565,0.1498988572670884,0.0282684965523766,0.3043443013902835,1327,TP,spatial,0.9525244913338358,0.3156836804787874
42,1680,0.0934059120749289,0.2169937117748616,0.0038794329961669,0.1933855533952443,1733,TP,spatial_temporal,0.9394114252740912,0.3279670683869714
42,10883,0.0804124923099104,0.2547108712901136,0.2904906338554675,0.7125100972529623,12540,TP,temporal,0.9185805422647528,0.2548002575053321
42,1106,1.9918840582443105,2.497372851813556,-0.1819510766727208,0.4445489678699139,1106,O2-Dis,spatial,0.903254972875226,7.578667219962233
42,1270,1.9467803255552047,2.410225294335026,-0.1009888593740262,0.3020537393483161,1272,O2-Dis,spatial_temporal,0.8852201257861635,7.631953556368964
42,9819,1.29510497216616,1.837644559907164,0.4280636194668121,0.6835175421772247,9824,O2-Dis,temporal,0.9153094462540716,5.943859702189922
42,241,9.06170059687032,13.696909239981569,0.1427299081970562,0.0900490594897216,276,TSS,spatial,0.8115942028985508,36.57883081546002
42,256,7.522226973484541,12.6630320446226,-0.0951868655938168,-0.0579127512900823,290,TSS,spatial_temporal,0.8551724137931035,36.6604351875899
42,2611,16.659142828949804,49.74618009063169,-0.0098863266547954,0.6092170456037522,4238,TSS,temporal,0.924964605946201,35.452183034669346
42,449,3.444567701055316,4.272110402555602,0.6398010762245372,0.8175637434687697,449,TEMP,spatial,0.8930957683741648,12.654729572021258
42,495,3.4254916065266627,4.211519837646231,0.6048099198979013,0.7945474101672946,495,TEMP,spatial_temporal,0.8666666666666667,12.183656297774844
42,7259,2.9052986753985945,3.789333643670436,0.6493010156207879,0.8070754158635897,7259,TEMP,temporal,0.8772558203609313,11.142606007855996
42,1057,0.2279127179823904,0.3502102777047516,0.4706891790666886,0.680113916095792,1057,pH,spatial,0.8845789971617786,0.9345025141944424
42,1136,0.1980309089833487,0.2784651173102518,0.5734760402974728,0.6601660942008756,1136,pH,spatial_temporal,0.9102112676056338,0.9298169088734046
42,10040,0.2186512699779878,0.3084801097055006,0.5989459801214555,0.7159190062305871,10040,pH,temporal,0.8712151394422311,0.8457310893369785
42,1053,928.909557773741,5577.659544738313,0.2339133889588158,0.8251483864639764,1053,EC,spatial,0.8537511870845205,784.3945262951339
42,1159,187.61944490590568,658.9996962028688,0.4363806831984542,0.8516183598051439,1159,EC,spatial_temporal,0.8843830888697153,509.99855094761455
42,9844,160.83906475553297,930.7522222646256,0.3397034480480692,0.8677537651895861,9844,EC,temporal,0.7961194636326696,364.13166264968623
43,1683,1.4418203603704394,2.4213483742415454,-0.0964354615753757,0.1162173344519527,1749,NO3N,spatial,0.9050886220697542,8.484978456972218
43,1636,1.8207730639724569,3.0002621892128145,-0.2635001375432235,0.145962468918042,1697,NO3N,spatial_temporal,0.8856806128461991,7.975130880823043
43,12490,0.85388392651638,1.7474048604078916,0.5389936557051828,0.8246015376351993,13161,NO3N,temporal,0.9427095205531496,7.070806673141669
43,1243,0.085921735365088,0.1553239604200058,-0.0433416621351301,0.3057585293790349,1327,TP,spatial,0.9382064807837228,0.3259265543832176
43,1680,0.1029210707754177,0.2167962685227042,0.0056913546785629,0.2945891038798414,1733,TP,spatial_temporal,0.8995960761684939,0.3163255088368814
43,10883,0.0824672900855222,0.2568708484820116,0.2784061709526284,0.6968255624086827,12540,TP,temporal,0.8562200956937799,0.2075401674727532
43,1106,1.8140852685787276,2.331725666391984,-0.0303567827829778,0.392657029835286,1106,O2-Dis,spatial,0.9168173598553344,8.018435847512823
43,1270,1.7770253345424576,2.2663542278667856,0.0265285353700401,0.3051811926361925,1272,O2-Dis,spatial_temporal,0.9056603773584906,8.141925006921467
43,9819,1.3063300256446548,1.8428943554799877,0.4247911281532535,0.6736607279669223,9824,O2-Dis,temporal,0.9396376221498371,6.852842821443305
43,241,8.685109357649962,13.72734174026384,0.1389162222544748,0.1330935840014376,276,TSS,spatial,0.8405797101449275,34.24190487688731
43,256,7.071855648651594,12.73746243698242,-0.1080992157477194,0.0360914778293928,290,TSS,spatial_temporal,0.8793103448275862,32.79365088360101
43,2611,16.880081443371324,50.142138007261565,-0.0260268178674127,0.6158692304390874,4238,TSS,temporal,0.9393581878244456,42.39983547314262
43,449,3.3834863372752784,4.114676749788648,0.6658596516051476,0.822024245702284,449,TEMP,spatial,0.8864142538975501,12.375889542573344
43,495,3.460831807770584,4.286468921677924,0.5906189912940055,0.782848876498989,495,TEMP,spatial_temporal,0.8626262626262626,12.189471962145694
43,7259,2.9313083020031256,3.800433126716925,0.6472435148846101,0.8065504181645999,7259,TEMP,temporal,0.8884143821463012,11.679251895613534
43,1057,0.2187183039485125,0.3419286817502047,0.4954269367936103,0.690814100925188,1057,pH,spatial,0.8959318826868495,0.9437935679451144
43,1136,0.1974058640270296,0.2787669139742118,0.5725510177038706,0.6685910191626433,1136,pH,spatial_temporal,0.9110915492957746,0.9349388990475838
43,10040,0.2193553427827243,0.3078821367378223,0.6004993186740988,0.7070388589336966,10040,pH,temporal,0.8455179282868526,0.7878151344074371
43,1053,910.823175793023,5445.914648145464,0.2696760724378055,0.8186266570917811,1053,EC,spatial,0.8651471984805318,912.363865346718
43,1159,189.35979734260872,634.7519591992783,0.4770941019238548,0.8459163840335405,1159,EC,spatial_temporal,0.8912855910267472,525.8831658582709
43,9844,169.97899879929622,928.3189750844122,0.3431513357861966,0.8618452036730162,9844,EC,temporal,0.764018691588785,338.9597827691165
44,1683,1.4568328996780393,2.391382169545606,-0.0694647872429121,0.1003666134618439,1749,NO3N,spatial,0.9251000571755288,8.005026026785407
44,1636,1.7935911860369809,2.940082597068044,-0.2133216266777786,0.1209123774462009,1697,NO3N,spatial_temporal,0.9045374189746612,7.608755470122094
44,12490,0.8396577263888787,1.7303836929399323,0.5479310792938732,0.8300177681067921,13161,NO3N,temporal,0.9373147937086848,6.731977857824364
44,1243,0.0803841050989294,0.1536535972390393,-0.021022006843572,0.1093387852762004,1327,TP,spatial,0.9480030143180106,0.3446871828007589
44,1680,0.0955240639587599,0.2170289194558836,0.0035561615052581,0.1967824828881965,1733,TP,spatial_temporal,0.9307559145989612,0.3261614095820721
44,10883,0.082877604285672,0.2508832505371909,0.3116544551977079,0.7234462677849349,12540,TP,temporal,0.9161084529505582,0.2648097305539216
44,1106,1.636200128347231,2.1424376103140608,0.1301405309729334,0.4218273944529389,1106,O2-Dis,spatial,0.9448462929475588,8.710541361706268
44,1270,1.6562285701238808,2.2014232892079693,0.0815093112477722,0.3645593570661546,1272,O2-Dis,spatial_temporal,0.9072327044025156,8.862807050372743
44,9819,1.2821955055224346,1.8278486244548415,0.4341450118696875,0.69109172369162,9824,O2-Dis,temporal,0.945948697068404,7.177968965987142
44,241,9.294649151461252,14.012209718484158,0.1028072120416315,0.1762637890879611,276,TSS,spatial,0.8333333333333334,40.44048086413303
44,256,7.529331110880068,12.55165903422852,-0.076006961756982,-0.105136261822155,290,TSS,spatial_temporal,0.8241379310344827,37.77811585610286
44,2611,16.670316555470034,49.69708447345247,-0.007893951517538,0.6026665706099334,4238,TSS,temporal,0.8931099575271354,30.83281457459934
44,449,3.416613584959592,4.269391769902646,0.6402593682078725,0.812821447851572,449,TEMP,spatial,0.8997772828507795,13.326047252083262
44,495,3.502777030702637,4.359207550026601,0.5766072399955637,0.7774773603103142,495,TEMP,spatial_temporal,0.8868686868686869,13.031680688084585
44,7259,2.9799724388104294,3.8764989218277406,0.6329813345842421,0.7964579435473473,7259,TEMP,temporal,0.8937870230059237,12.041424547456923
44,1057,0.2287972054793323,0.3531347973293053,0.4618119793880371,0.6734928092775273,1057,pH,spatial,0.8883632923368022,0.9394748008752144
44,1136,0.2018630282761297,0.2836543490059046,0.5574312694053012,0.6412212250640807,1136,pH,spatial_temporal,0.914612676056338,0.9445435891242516
44,10040,0.2201235929083494,0.3085087994359843,0.5988713777958405,0.70930312356275,10040,pH,temporal,0.8690239043824701,0.8451366187912569
44,1053,918.9588599833396,5504.391058959819,0.2539079195961333,0.8149696546075089,1053,EC,spatial,0.8879392212725546,942.1600125967152
