parameter,task,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,coverage90_mean,coverage90_std,mean_interval_width_mean,mean_interval_width_std
NO3N,spatial,1.4474811826518128,0.01092975155692464,2.401564034887638,0.013927659053948004,-0.07862018571364557,0.012520236258902737,0.10519850002137629,0.029084718186766157,0.919496855345912,0.015444802660167904,8.147718155194903,0.32108276431162525
NO3N,spatial_temporal,1.807730364024842,0.010304785494462726,2.967445726364061,0.028691731720441812,-0.23610375095404232,0.023887515966372022,0.14061634522889563,0.030886594791862128,0.8999410724808484,0.00878395667376033,7.6745900465075305,0.20172108100455816
NO3N,temporal,0.8410546192322773,0.007875776973403636,1.7269059905574078,0.01666599471489675,0.5497128291802527,0.008680957645776113,0.8294213824434609,0.0027425518064985656,0.9384089354912242,0.0048899641228361814,6.795973473073286,0.4092699246461891
TP,spatial,0.0793036477305112,0.00513332978213758,0.15266587733852963,0.0020439114713949077,-0.00808201106731616,0.02697638574090408,0.27820161874628235,0.09572805620370525,0.9511680482290881,0.00928157904307591,0.3265244448154451,0.012876093901812052
TP,spatial_temporal,0.09724333537062724,0.003697238416897411,0.21577981751142622,0.0016154602190991234,0.014948978272267738,0.014724496456318384,0.25147888349580294,0.05667624677818669,0.9260242354298903,0.015307180832504801,0.3191488357987707,0.009738930646541704
TP,temporal,0.08268293131384367,0.0021137685600526234,0.2542875560027495,0.002455852692136341,0.29279423784103376,0.013638217235846184,0.7067076106053248,0.01681272133347643,0.8871610845295056,0.02885919629914373,0.23295608879450097,0.02531729288605283
O2-Dis,spatial,1.8084134435131478,0.13247274803800638,2.312519696862847,0.13559723243022426,-0.0162405524920868,0.11920436971345875,0.4141392513147575,0.02748390017410889,0.9245931283905968,0.01569438994209116,7.941290478830142,0.46464417950219217
O2-Dis,spatial_temporal,1.786823932374027,0.10848249205511137,2.282404211818251,0.08242358649897431,0.011661697085952761,0.07210949098700689,0.31020127791943175,0.0323668151526549,0.8995283018867924,0.009888174643729666,8.016118449219377,0.5139556784549809
O2-Dis,temporal,1.3031379858144403,0.014547500827807992,1.8446004009487496,0.012845557632818137,0.4237032873365648,0.00802377886270782,0.6824235238066942,0.006876028681845585,0.9289495114006515,0.013525639447779392,6.496862285824404,0.5040783022937275
TSS,spatial,8.87936240056835,0.5772084239966413,14.152514562658576,0.5032735613785472,0.08382408630204702,0.0655976725745478,0.13991928315091479,0.13544508490791946,0.8246376811594203,0.03537018800540805,34.639101239170685,5.827978905377576
TSS,spatial_temporal,7.077964454509152,0.6477030502879308,12.560021407710831,0.14409945557427084,-0.07755464561017635,0.024723607791537264,0.007429819924584541,0.10162280385246894,0.8696551724137931,0.03135846219141976,33.59733827487483,6.202414072813922
TSS,temporal,16.748302323261502,0.11722590123692317,49.8983033543676,0.22595684584988324,-0.01608888104497416,0.00920925554080484,0.6061757601272564,0.009742230119445732,0.9203869749882021,0.01723528502575885,36.374124620176715,4.522138600570627
TEMP,spatial,3.4267418471971802,0.027539680763936786,4.217012657511677,0.06389646394887018,0.6489677289580366,0.010577163228354645,0.8197462335568411,0.004544171440346946,0.8939866369710467,0.009263534228545867,12.869808892861315,0.46112227441898396
TEMP,spatial_temporal,3.509795507182271,0.08631180648278734,4.315454252447535,0.0746828447258682,0.5849643430456071,0.014343680064512868,0.7835495774456899,0.011148606264790402,0.8711111111111112,0.010536084695277025,12.552678890580221,0.4307616825408556
TEMP,temporal,2.9292786065879186,0.031832118092129005,3.8050905440459077,0.042230840470601196,0.6463435350284801,0.007891547068330071,0.8045954922945293,0.004619154296318559,0.8828213252514121,0.0110554456174592,11.436256959639477,0.4749153009739003
pH,spatial,0.22332126746778327,0.0046716850026746375,0.3469593598380779,0.004983265284792411,0.48038476137138836,0.014927714595438716,0.6865409572197211,0.009726058262964457,0.8930936613055819,0.008027702340812308,0.9456589400029735,0.018540294092118395
pH,spatial_temporal,0.19813917836687878,0.0022289501722359316,0.27926955376387225,0.002690428428484639,0.5709763244694288,0.008295102159795386,0.6578466291706678,0.010089864811676326,0.9151408450704224,0.005266998345651933,0.943044461666036,0.014006752887734751
pH,temporal,0.21821867411879406,0.0017714885868879485,0.30707936459605906,0.0018598126767104392,0.6025682573720741,0.0048026509440812345,0.7128998172877958,0.005016790801886826,0.8630278884462153,0.011869819075255026,0.8264488585493387,0.030605937446238945
EC,spatial,925.5231267451003,10.592977691790358,5535.250451075481,65.82893110008789,0.2454334350050781,0.017933550486342122,0.8211639811885607,0.004321206976374437,0.8685660018993353,0.013440397199385997,871.9343292865072,63.01726432531578
EC,spatial_temporal,190.54520058734522,2.537255691578671,634.8664919391056,21.042590045140273,0.4764456507273839,0.03454881919024346,0.8471974256137791,0.005260727355359777,0.8904227782571181,0.00439949914891524,553.4257900605008,34.03950657019426
EC,temporal,164.73858924858433,3.309512723916439,919.3843319038757,9.643409986276756,0.3556775182187915,0.013529044116286982,0.864577369145136,0.005121696668366701,0.7983136936204794,0.022067348949330153,386.19287557138404,41.55302658446648
