model,parameter,task,group_id,count,mean
GroupDRO,TP,spatial,25,158,0.08521344189886598
GroupDRO,TP,spatial_temporal,7,30,0.1613032697903662
GroupDRO,TP,temporal,28,156,0.19231313756489746
GroupDRO,pH,spatial_temporal,7,54,0.37659738900322376
GroupDRO,pH,temporal,37,161,0.3791949733883977
GroupDRO,pH,spatial,7,63,0.5603900831341674
GroupDRO,O2-Dis,temporal,27,2302,1.7886239479872366
GroupDRO,O2-Dis,spatial_temporal,9,120,2.1168188254581777
GroupDRO,O2-Dis,spatial,9,98,2.158383907056058
GroupDRO,NO3N,temporal,20,58,2.547949025527559
GroupDRO,NO3N,spatial,20,126,2.7237127268624834
GroupDRO,NO3N,spatial_temporal,20,138,4.0835888000115865
GroupDRO,TEMP,spatial_temporal,20,168,4.400290725260807
GroupDRO,TSS,spatial,20,125,6.141915567322633
GroupDRO,TEMP,temporal,37,157,6.152165160656066
GroupDRO,TEMP,spatial,24,30,6.371068300865309
GroupDRO,TSS,spatial_temporal,20,139,6.378700419465202
GroupDRO,TSS,temporal,30,103,23.807645367043715
GroupDRO,EC,temporal,18,4871,258.079294277168
GroupDRO,EC,spatial_temporal,7,54,334.86371845823896
GroupDRO,EC,spatial,24,30,29955.107647180743
ERM,TP,spatial,35,362,0.08072313412101316
ERM,TP,spatial_temporal,7,30,0.1731772085479334
ERM,TP,temporal,28,156,0.175129942738692
ERM,pH,spatial_temporal,7,54,0.3367774099207184
ERM,pH,temporal,37,161,0.354169524198963
ERM,pH,spatial,7,63,0.5465485763229895
ERM,O2-Dis,temporal,4,250,1.60688473712205
ERM,O2-Dis,spatial_temporal,9,120,2.5643540695579987
ERM,O2-Dis,spatial,9,98,2.5743724957150578
ERM,NO3N,temporal,20,58,2.5836526615715183
ERM,NO3N,spatial,20,126,2.715700461427323
ERM,TEMP,spatial_temporal,7,54,3.8049654429456123
ERM,NO3N,spatial_temporal,20,138,4.070268341870536
ERM,TEMP,temporal,37,157,4.326437797070488
ERM,TEMP,spatial,24,30,6.1086078130845785
ERM,TSS,spatial,20,125,6.129692364070832
ERM,TSS,spatial_temporal,19,51,7.114786274242794
ERM,TSS,temporal,30,103,22.78940356560888
ERM,EC,temporal,2,163,218.1210811183871
ERM,EC,spatial_temporal,7,54,319.1489538490914
ERM,EC,spatial,24,30,26413.860767299546
