样品编号,水化学组,pH设定,EC,分组,DIPt0,DIPt10,DIPt30,DIPt60,pH t0,pH t60,EC t0,EC t60,Fe60(mg/L),medium,R10,R30,R60,pH_drift,EC_relative_drift_pct,pH_centered,log10_EC_centered
B1-C-A,B1,7.0,100,对照,0.406,0.408,0.402,0.398,7.02,7.04,104,103,0.016,0,-0.4926108374384104,0.9852216748768481,1.9704433497536962,0.020000000000000462,-0.9615384615384616,-0.75,-0.5
B1-C-B,B1,7.0,100,对照,0.395,0.393,0.386,0.392,7.01,7.02,103,101,0.013,0,0.5063291139240511,2.2784810126582298,0.7594936708860766,0.009999999999999787,-1.941747572815534,-0.75,-0.5
B1-C-C,B1,7.0,100,对照,0.399,0.402,0.395,0.397,7.03,7.02,101,102,0.008,0,-0.7518796992481209,1.0025062656641612,0.5012531328320806,-0.010000000000000675,0.9900990099009901,-0.75,-0.5
B1-M-A,B1,7.0,100,GFH,0.395,0.276,0.163,0.101,7.03,7.04,102,103,0.111,1,30.126582278481006,58.73417721518988,74.43037974683546,0.009999999999999787,0.9803921568627451,-0.75,-0.5
B1-M-B,B1,7.0,100,GFH,0.404,0.291,0.17,0.112,7.02,7.0,100,102,0.114,1,27.97029702970298,57.92079207920792,72.27722772277228,-0.019999999999999574,2.0,-0.75,-0.5
B1-M-C,B1,7.0,100,GFH,0.394,0.265,0.156,0.098,7.03,7.02,103,101,0.099,1,32.74111675126903,60.40609137055837,75.1269035532995,-0.010000000000000675,-1.941747572815534,-0.75,-0.5
B2-C-A,B2,7.0,1000,对照,0.403,0.402,0.401,0.396,7.0,7.02,1002,1011,0.01,0,0.24813895781637738,0.49627791563275475,1.7369727047146417,0.019999999999999574,0.8982035928143712,-0.75,0.5
B2-C-B,B2,7.0,1000,对照,0.395,0.393,0.396,0.392,7.02,7.01,1006,1008,0.009,0,0.5063291139240511,-0.25316455696202556,0.7594936708860766,-0.009999999999999787,0.1988071570576541,-0.75,0.5
B2-C-C,B2,7.0,1000,对照,0.398,0.395,0.388,0.391,7.03,7.03,1003,1004,0.006,0,0.7537688442211061,2.5125628140703538,1.7587939698492476,0.0,0.09970089730807577,-0.75,0.5
B2-M-A,B2,7.0,1000,GFH,0.406,0.29,0.191,0.134,7.01,7.06,1004,1005,0.093,1,28.57142857142858,52.95566502463055,66.99507389162562,0.04999999999999982,0.099601593625498,-0.75,0.5
